Timestamp,Q1. What is your current status? (select one),Q2. Which social media platform do you mainly use for career development? (select one) ,"Q3. On average, how often do you access career-related content on your main platform (answered above)? (select one)",Q4. Which of the following best describe your current situation? (select all that apply),Q5. Employers or recruiters would view my profile on this platform positively.,Q6. The content I share on this platform is appropriate for a professional audience.,Q7. I adjust my content on this platform to appear more career-ready.,Q8. My overall presence on this platform enhances my professional image.,Q9. How often do you use your platform specifically for networking purposes? (select one),Q10. How many new professional connections have you made via your platform for career development in the last 6 months?  (select one),Q11. My main platform for career development is an effective tool for professional networking.,Q12. The platform I use most provides better networking opportunities than other platforms.,"Q13. How often do you create or share content related to your career, studies, or professional interests?  (select one)",Q14. Creating professional content on social media helps me build my personal brand.,Q15. Posting about my achievements or projects increases my visibility to employers.,Q16. I feel more comfortable posting professional content on this platform than on others.,"Q17. In the past 6 months, how many times have you been contacted by recruiters or employers through this platform for an interview? (select one)",Q18. How many of these interviews resulted in a job/position? (select one),Q19. Using this platform has increased my access to job or internship opportunities.,"Q20. Overall, I am satisfied with how my career is developing."
4/19/2026 15:17:19,Currently enrolled student,LinkedIn,2-3 times a week,"I am currently studying, I am not working, but looking for a job",3,4,4,4,Once a week,6 - 10,4,4,Less than once a month,4,4,4,1 - 2,None (0),3,3
4/19/2026 15:20:53,Currently enrolled student,LinkedIn,More than 3 times a week,"I am not working, but looking for a job",2,5,5,4,2-3 times a week,More than 15,4,5,Less than once a month,4,4,5,3 - 4,None (0),4,2
4/19/2026 15:53:42,Currently enrolled student,LinkedIn,1-3 times a month,"I am currently studying, I am not working, but looking for a job",3,5,5,3,Once a week,None (0),3,3,1-3 times a month,4,3,3,None (0),None (0),1,2
4/19/2026 16:26:01,Currently enrolled student,LinkedIn,1-3 times a month,"I am currently studying, I am not working, but looking for a job",3,4,5,5,1-3 times a month,11 - 15,4,5,1-3 times a month,2,5,5,3 - 4,None (0),4,3
4/19/2026 17:03:38,Currently enrolled student,LinkedIn,More than 3 times a week,"I am currently studying, I am not working, but looking for a job",2,4,2,3,Once a week,1 - 5,3,1,Less than once a month,2,4,4,None (0),None (0),2,1
4/19/2026 17:47:33,Currently enrolled student,LinkedIn,Once a week,"I have paid employment (full-time or part-time), I am currently studying",4,5,5,4,Less than once a month,1 - 5,3,4,Less than once a month,4,5,5,None (0),None (0),4,4
4/19/2026 17:48:04,Recent graduate (within the last 2 years),LinkedIn,2-3 times a week,I run my own business,5,5,3,5,1-3 times a month,More than 15,4,5,Less than once a month,5,5,5,1 - 2,None (0),5,5
4/19/2026 17:49:44,Currently enrolled student,Instagram,1-3 times a month,I have paid employment (full-time or part-time),1,1,1,1,More than 3 times a week,None (0),1,1,Less than once a month,3,3,3,None (0),None (0),1,3
4/19/2026 18:01:30,Recent graduate (within the last 2 years),LinkedIn,Less than once a month,I have paid employment (full-time or part-time),4,4,4,4,Less than once a month,1 - 5,4,4,Less than once a month,4,4,3,None (0),None (0),4,4
4/19/2026 18:04:56,Currently enrolled student,LinkedIn,Less than once a month,"I run my own business, I am currently studying",4,3,4,3,Less than once a month,More than 15,3,1,Less than once a month,4,4,1,None (0),None (0),1,5
